dataset_name,model_type,metric_name,metric_k,best_score
housing,RF,accuracy_score,,0.8899
housing,XGB,accuracy_score,,0.8895
housing,ET,accuracy_score,,0.8851
housing,LR,accuracy_score,,0.8768
housing,LRR,accuracy_score,,0.8720
housing,LRL,accuracy_score,,0.8715
housing,DT,accuracy_score,,0.8610
housing,DC,accuracy_score,,0.7494
housing,XGB,f1_score,,0.7700
housing,RF,f1_score,,0.7643
housing,ET,f1_score,,0.7508
housing,LR,f1_score,,0.7403
housing,LRR,f1_score,,0.6969
housing,DT,f1_score,,0.6953
housing,LRL,f1_score,,0.6951
housing,DC,f1_score,,0.3334
housing,RF,precision_score,10,0.9520
housing,XGB,precision_score,10,0.9517
housing,ET,precision_score,10,0.9483
housing,LR,precision_score,10,0.9392
housing,LRR,precision_score,10,0.9372
housing,LRL,precision_score,10,0.9366
housing,DT,precision_score,10,0.8825
housing,DC,precision_score,10,0.0000
housing,XGB,precision_score,25,0.8530
housing,DT,precision_score,25,0.7840
housing,RF,precision_score,25,0.7763
housing,ET,precision_score,25,0.7663
housing,LR,precision_score,25,0.7456
housing,LRR,precision_score,25,0.7421
housing,LRL,precision_score,25,0.7413
housing,DC,precision_score,25,0.1980
housing,XGB,recall_score,10,0.3799
housing,RF,recall_score,10,0.3796
housing,ET,recall_score,10,0.3786
housing,LR,recall_score,10,0.3749
housing,LRR,recall_score,10,0.3741
housing,LRL,recall_score,10,0.3739
housing,DT,recall_score,10,0.3392
housing,DC,recall_score,10,0.0000
housing,XGB,recall_score,25,0.7742
housing,RF,recall_score,25,0.7732
housing,ET,recall_score,25,0.7617
housing,LR,recall_score,25,0.7440
housing,LRR,recall_score,25,0.7406
housing,LRL,recall_score,25,0.7398
housing,DT,recall_score,25,0.7046
housing,DC,recall_score,25,0.1952
housing,LR,roc_auc_score,,0.8469
housing,XGB,roc_auc_score,,0.8399
housing,RF,roc_auc_score,,0.8311
housing,ET,roc_auc_score,,0.8215
housing,DT,roc_auc_score,,0.7853
housing,LRR,roc_auc_score,,0.7772
housing,LRL,roc_auc_score,,0.7761
housing,DC,roc_auc_score,,0.5013
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
